#      tau     msd_x sd(msd_x)     msd_y sd(msd_y)     msd_z sd(msd_z)     msd   sd(msd)  
        78    72.048   102.035    72.698   103.045    73.026   103.248   217.772   178.498
        79    72.960   103.319    73.627   104.348    73.958   104.551   220.545   180.750
        80    73.872   104.605    74.555   105.651    74.892   105.857   223.319   183.005
        81    74.784   105.890    75.484   106.957    75.825   107.162   226.093   185.256
        82    75.695   107.176    76.414   108.262    76.757   108.468   228.866   187.509
        83    76.606   108.460    77.344   109.564    77.690   109.770   231.640   189.759
        84    77.516   109.744    78.274   110.868    78.623   111.071   234.412   192.008
        85    78.428   111.030    79.204   112.174    79.555   112.372   237.186   194.258
        86    79.339   112.316    80.135   113.482    80.487   113.669   239.961   196.505
        87    80.251   113.599    81.065   114.785    81.419   114.969   242.735   198.753
        88    81.164   114.883    81.996   116.092    82.351   116.265   245.511   200.998
        89    82.077   116.167    82.927   117.396    83.281   117.559   248.285   203.239
        90    82.990   117.449    83.857   118.704    84.212   118.848   251.059   205.480
        91    83.901   118.728    84.788   120.013    85.142   120.139   253.832   207.722
        92    84.811   120.010    85.718   121.324    86.073   121.430   256.602   209.966
        93    85.722   121.295    86.648   122.634    87.002   122.720   259.372   212.206
        94    86.631   122.577    87.579   123.942    87.930   124.008   262.141   214.444
        95    87.542   123.862    88.509   125.249    88.859   125.299   264.910   216.684
        96    88.452   125.152    89.439   126.556    89.789   126.593   267.679   218.928
        97    89.363   126.438    90.368   127.862    90.718   127.889   270.449   221.170
        98    90.272   127.721    91.298   129.173    91.648   129.187   273.218   223.417
        99    91.182   129.008    92.228   130.487    92.577   130.488   275.987   225.667
       100    92.091   130.293    93.158   131.799    93.504   131.785   278.753   227.914
       101    93.000   131.578    94.087   133.113    94.431   133.078   281.519   230.158
       102    93.909   132.867    95.018   134.428    95.359   134.375   284.286   232.404
       103    94.819   134.156    95.949   135.742    96.286   135.669   287.054   234.650
       104    95.729   135.442    96.880   137.056    97.213   136.962   289.822   236.892
       105    96.639   136.731    97.810   138.372    98.141   138.255   292.590   239.135
       106    97.548   138.019    98.742   139.688    99.068   139.552   295.358   241.377
       107    98.457   139.306    99.676   141.008    99.997   140.851   298.130   243.622
       108    99.365   140.591   100.610   142.325   100.925   142.149   300.900   245.860
       109   100.274   141.873   101.543   143.644   101.855   143.451   303.672   248.100
       110   101.181   143.152   102.475   144.960   102.784   144.752   306.440   250.333
       111   102.087   144.429   103.406   146.275   103.715   146.050   309.208   252.568
       112   102.992   145.708   104.339   147.592   104.645   147.347   311.976   254.806
       113   103.897   146.985   105.271   148.909   105.575   148.646   314.742   257.044
       114   104.801   148.265   106.203   150.230   106.505   149.945   317.510   259.287
       115   105.706   149.541   107.136   151.552   107.436   151.247   320.278   261.533
       116   106.609   150.819   108.070   152.874   108.367   152.555   323.046   263.782
       117   107.513   152.099   109.003   154.196   109.298   153.861   325.814   266.031
       118   108.417   153.374   109.936   155.516   110.228   155.166   328.582   268.274
       119   109.321   154.650   110.869   156.836   111.160   156.473   331.351   270.517
       120   110.226   155.929   111.803   158.154   112.091   157.781   334.120   272.761
       121   111.132   157.207   112.736   159.472   113.023   159.091   336.891   275.006
       122   112.038   158.484   113.670   160.790   113.954   160.406   339.662   277.251
       123   112.945   159.763   114.606   162.111   114.885   161.720   342.436   279.496
       124   113.851   161.041   115.542   163.434   115.816   163.032   345.209   281.745
       125   114.757   162.315   116.480   164.756   116.746   164.346   347.983   283.988
       126   115.664   163.592   117.417   166.077   117.676   165.657   350.757   286.231
       127   116.570   164.866   118.353   167.397   118.606   166.969   353.530   288.472
       128   117.477   166.140   119.290   168.720   119.537   168.282   356.305   290.720
